Review ID,Review Pair ID,Worker ID,Review,Domain,Sentiment Polarity,Truth Value,URL Origin,Length in Bytes,Avg. Quality,Accuracy in Detecting Truthfulness,Avg. Star Rating,Time to Write a Review Pair (sec.),Quality Judgments,Truth vs. Deception Judgments,Star Rating Judgments,Known,Used/Stayed,URL,Plagiarized,Rejected,Cause(s) of Rejection
ID-0444,PID-0222,A2MPDB0KW79B6F,"I absolutely love this phone! I am one of those people who loved the idea of having a smartphone, but hating the idea of having to pay an arm and a leg for one monthly. With the Kyocera Zio, I was able to have just about everything that the more popular smartphones offered, with a much more affordable price. I pay about 59 dollars per month and with it I get unlimited texting, 3g internet, talking and access to all the apps, games, and music I could ever want. For a great smartphone at a fraction of the price, look no further than the Kyocera Zio.",Electronics,pos,T,self,557,3.7,0.75,5.0,420,"[2, 3, 3, 3, 3, 4, 4, 5, 5, 5]","[F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",Y,Y,http://ziobykyocera.com/,-,-,-
ID-0260,PID-0130,A2R4ZIU0VTK2BO,"The PS Vita has blown me away. So far it has trumped all expectations I had of the system. From the build quality to the software, the whole experience has proven to be amazing and well worth the investment. I thought the 3DS felt like a great system to hold, then I held the Vita. I hope that future games and applications take advantage of the amazing capabilities of the system.",Electronics,pos,T,self,381,3.2,0.65,5.0,379,"[2, 2, 2, 3, 3, 3, 3, 4, 5, 5]","[F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",Y,Y,http://us.playstation.com/psvita/,-,-,-
ID-1496,PID-0748,A818A5W40N8IM,"GORGEOUS HOTEL! I stayed here for my honeymoon. Charleston is so fabulous, and this is totally the hotel to stay at. I'm so glad I saved up my money for it. I've only ever stayed at gross cheap hotels. This one had nice soft bed sheets, and a tasty breakfast, and a garden patio...it was hard to make myself go out and explore the city! They even put little cards in the room to say what the weather was going to be like the next day. So charming.",Hotels,pos,D,posT,447,3.2,0.2,4.33,548,"[2, 2, 3, 3, 3, 3, 4, 4, 4, 4]","[F, F, T, T, T, T, T, T, T, T]","[-1, 2, 4, 4, 4, 5, 5, 5, 5, 5]",N,N,http://www.plantersinn.com/,-,-,-
ID-0084,PID-0042,A1UU2X84NU361W,I purchased my first laser printer which was a Brothers brand from Best Buy. Setup of the printer was very easy and straight forward. I had the printer set up and running on my computer in about 5 minutes and it came with everything i needed to get started right away. The instruction manual was very easy to follow and answered all my questions. After i got the printer set up i completed a few printed test pages and was very happy with the speed of the printer. It only took a few seconds to print each page and the quality of the printing was very good. This printer had great resolution and even small text was easy to read and did not have any kind of blurriness or smudging. For the price i would recommend this printer to anyone who is looking for a laser printer.,Electronics,pos,F,self,772,3.9,0.0,4.5,734,"[3, 3, 3, 4, 4, 4, 4, 4, 5, 5]","[T, T, T, T, T, T, T, T, T, T]","[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",Y,Y,http://www.bestbuy.com/site/Brother+-+Network-Ready+Wireless+Black-and-White+Laser+Printer/1148536.p?id=1218225366203&skuId=1148536,-,-,-
ID-0258,PID-0129,A101IR0LIN81SL,"I was looking for a cheap pair of headsets for my Nokia X1. My cellphone accepts standard 3.5mm plug. I was surfing through Amazon, and I found ""Palm Stereo Headsets"". I found its reviews very mouth watering, and the price was just unbeatable. (USD 3.5 at that time). <br/><br/>I ordered it without any reluctance, and now was the time I would wait for it to arrive. The delivery time was awesome. <br/><br/>When I received it, it had no packaging. Just a small foil. I guess buying a 3.5$ headsets compensates it.<br/><br/>It looked light quality, but I was astonished, the build was superb. Cosmetically, it looked no less than those Apple headsets. I plugged it into my Computer, and the sound was also good. Remember, they were just $3.5. The price is too good, and I would have ordered more, but the sale was over.<br/><br/>I'd give it :<br/><br/>Presentation : 3/5<br/>Build Quality : 4.5/5<br/>Sound Quality : 4.5/5<br/>Durability : 4.5/5<br/>Worth for money : 5/5<br/><br/>Overall : 4.3/5<br/><br/>Just a side note, my phone did NOT support it. Altough, the expensive sets I tried were supported. They should have mentioned it.",Electronics,pos,T,self,1081,4.2,0.75,3.6,933,"[3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[2, 2, 4, 4, 4, 4, 4, 4, 4, 4]",Y,Y,http://store.webosnation.com/palm-stereo-headset-35mm/A11A5626.htm,-,-,-
ID-0355,PID-0178,A127BJRZPK8NPG,"there are so many promises that weren't fulfilled with this thing. i cant even use the 3d function considering the fact that it almost instantly gives my entire family a headache so we just stick with the 2d part which pretty much defeats the purpose. also, this so called revolutionary apps thing is rendered useless from the pain-stakingly slow speed it takes to load and the things that are available aren't worth the wait. and the only 3d disks i can find come in $40-50 bundles.",Electronics,neg,F,self,483,3.2,0.2,2.0,55,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 5]","[F, F, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 2, 2, 2, 2, 4, 4]",Y,Y,http://www.vizio.com/lcd-hdtvs/40-to-49/e422vle.html,-,-,-
ID-0079,PID-0040,A25ZADCJI3D5AF,"The Kenmore Elite French-Door Bottom-Freezer Refrigerator is the worst! I had this refrigerator for just a little over a year, then all of the sudden, the temperature control goes all out of whack. If I turn the knob to the right just a little, all the food in my refrigerator is frozen, if I turn it to the left a little, food goes bad. I called Kenmore since my refrigerator is under warranty (or so I thought), and they said the part that I need is $250 plus $150 for the instillation. Turned out the compressor is only under warranty for 12 months, and I have had mine for 14 months. Why would you buy a refrigerator that last only a year? I am not impressed with Kenmore or their service at all!",Electronics,neg,T,self,700,3.8,0.8,1.2,55,"[3, 3, 3, 4, 4, 4, 4, 4, 4, 5]","[F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",Y,Y,http://www.kenmore.com/shc/s/p_10154_12604_04671053000P?keyword=french-door&prdNo=1&blockNo=1&blockType=L1,-,-,-
ID-1302,PID-0651,A1BYYZGAKFM8A3,"Every one has a dream to enjoy life with his/her partner. Same feelings were there once we left for this hotel. The dream came true once we entered the hotel premises. Driver was available to take our car in the parking. Hotel staff greeted us like a family and offered us every luxury we could dream about. The management was also caring and looked us after. A neat and immaculate place, with everything available for fun. Rooms are big and luxurious. Bed is so soft and silky that you can really enjoy your sleep. I would love to be here again.",Hotels,pos,D,negT,546,3.7,0.5,4.5,388,"[3, 3, 3, 3, 4, 4, 4, 4, 4, 5]","[F, F, F, F, F, T, T, T, T, T]","[3, 4, 4, 4, 5, 5, 5, 5, 5, 5]",N,N,http://homewoodsuites1.hilton.com/en_US/hw/hotel/FMYHWHW-Homewood-Suites-by-Hilton-Fort-Myers-Florida/index.do,-,-,-
ID-0792,PID-0396,A2ROM05A414N7V,"One of the best blenders out there for this price. I use this blender to make my protein shakes mixed in with different kinds of fruits and vegetables. It doesn't leave any clumps from the protein powder. It chops up any kind of fruit and vegetable with ease from bananas to carrots. The spout component works really well, I never end up spilling my drink when pouring it into my cup.",Electronics,pos,D,posT,388,3.5,0.4,4.2,607,"[2, 2, 2, 3, 3, 4, 4, 5, 5, 5]","[F, F, F, F, T, T, T, T, T, T]","[3, 4, 4, 4, 4, 4, 4, 5, 5, 5]",Y,Y,www.hamiltonbeach.com/products/kitchen-appliances-blenders.html,-,-,-
ID-0611,PID-0306,A3F0HGDVBC0D7R,"This whole thing is a hoax, you obviously can't just replace all those different things with just one product. There is a reason there are no professional chefs that are using this thing. It's garbage.",Electronics,neg,D,negT,201,1.9,0.5,1.1,355,"[1, 1, 1, 1, 2, 2, 2, 3, 3, 3]","[F, F, F, F, F, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",Y,N,http://www.nuwaveoven.com/,-,-,-
ID-0610,PID-0305,ARTP9D983UQWM,As a HP fan I will say that this laptop is confirming my beliefs. Bringing the classic laptop that do what is mend to do when you need it. From the beginning it was easy to set up going step by step with the wizard software even my grand mom could do it. Its 15.6” give me what I need for my video games and videos which they run faster and smooth thanks to its Radeon HD technology video card. I absolutely recommend this laptop for work or school since it’s light and powerful. Every place where I take it its build-in Wi-Fi seems much reliable than my last HP laptop. I absolutely love the free games that come with this laptop. Thanks HP and Dad.,Electronics,pos,D,negT,654,3.83,0.2,4.6,1626,"[0, 0, 0, 0, 3, 3, 4, 4, 4, 5]","[F, F, T, T, T, T, T, T, T, T]","[3, 4, 4, 5, 5, 5, 5, 5, 5, 5]",N,N,http://www.shopping.hp.com/webapp/shopping/computer_can_series.do?storeName=computer_store&category=notebooks&a1=Category&v1=Everyday+computing&series_name=2000z_series&jumpid=in_R329_prodexp/hhoslp/psg/notebooks/Everyday_computing/2000z_series,-,REJECTED,THERE WERE MORE THAN 3 0S IN THE QUALITY TEST
ID-0019,PID-0010,ADIZXYCIF4AX8,"These headphones are the worst, they have a faulty cord and I tried to contact the company, but they say they will not cover a cord issue so I am just out of luck. Stay away from this company, they do not stand behind their product.",Electronics,neg,T,self,233,2.0,0.6,1.1,2278,"[0, 0, 0, 1, 1, 1, 1, 3, 3, 4]","[F, F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",Y,Y,http://www.bestbuy.com/site/Beats+By+Dr.+Dre+-+Monster+Beats+Solo+Over-the-Ear+Headphones+-+White/1232447.p?id=1218239488189&skuId=1232447&st=beats%20by%20dre&cp=1&lp=12,-,-,-
ID-1179,PID-0590,A3CGRGTG7UW9BX,"The price of the stay is no where near the crappy service given to the customers. I couldn't find a decent informant throughout my entire stay. I wouldn't recommend this hotel. The purpose of a hotel is to make your trip comfortable- so you don't end up sleeping in a dump- and while this is no dump, it is not what you would expect from a Marriott hotel! I was overcharged for everything! The mattresses were uncomfortable and wi-fi was not free [come on, what hotel doesn't have free wi-fi?]. I would suggest that you look elsewhere if you're planning a trip to Washington!",Hotels,neg,F,self,575,3.2,0.5,1.4,15,"[1, 3, 3, 3, 3, 3, 3, 4, 4, 5]","[F, F, F, F, F, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",Y,Y,http://www.marriott.com/hotels/travel/waswe-washington-marriott/,-,-,-
ID-1027,PID-0514,A1L4IUDPCLVYZL,"The rooms were small, the size or a jail cell or so. Televisions were small and dated. Outside of the motel was not pleasant, very dirty with garbage everywhere. The microwaves were dirty inside when I made a quick snack at night. Also the owner was quite questionable, as we're the other residents. Very run down motel.. My husband and I also woke up in the middle of the night itching, we pulled up the sheets and found bed bugs. We' then packed our stuff and left. I would NEVER EVER recommend anybody stay at this motel. When we approached the owners about the bugs, all they said was "" we know, we are trying to get rid of them"". They shoud be reported to the health inspector.",Hotels,neg,T,self,682,3.7,0.65,1.0,1385,"[1, 3, 3, 4, 4, 4, 4, 4, 5, 5]","[F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Y,Y,http://www.yellowpages.com/broken-bow-ne/mip/wagon-wheel-motel-camp-grnds-1171507/reviews?lid=1171507,-,-,-
